"ad_id","ad_subject","ad_body","ad_price"
11998585,"Kinderhochstuhl","Da unsere Enkel nun schon gross sind verschenken wir unseren gebrauchten Kinderhochstuhl. Die Sitzauflagen sind beide frisch gewaschen und sauber. An einem Ort war das Holz gerissen, das haben wir aber gut wieder verleimt. Gerne dürfen Sie den Stuhl bei uns abholen.",0
11998584,"Plateau Schuhe gr. 39 leder & holz","plateau schuhe gr. 39 zu verkaufen. echten Leder mit holz. schuhe sind sehr gut gehalten und gepflegt 1 mal getragen worden. bei interesse können auch gesendet werden und abgeholt im Raum Aargau",30
11998583,"Anzug grösse 74","Sehr schöner grauer anzug in grösse 74 für hochzeit, taufe, oder sonstigen anlass. Jacke, hose, hemd, hut und krawatte. Wie neu. Neupreis fr. 180.00 (in babyfachgeschäft gekauft) kann auch per post verschickt werden, Preis zusätzlich porto fr. 7.00.",80
11998582,"James und der Riesenpfirsich","Original VHS-Kassette",2
11998581,"Beats by Dr. Dre Mixr Kopfhörer","Biete Beats Mixr Kopfhörer an.
Perfekte Soundqualität.
Der Kopfhörer ist auf der einen Seite gebrochen, darum der günstige Preis, es ist momentan mit Klebeband zusammengemacht.
Die Qualität beeinträchtigt es nicht.
Kann man evtl. reparieren

Preis verhandelbar exkl. Porto",30
11998580,"mit garanti","louis erard uhr mit garanti",1090
11998579,"Bluse Alana Gr. 104","Bluse von Alana Gr. 104, klein geschnitten, eher 92/98, sehr gepflegt

Versand gegen Portokostenübernahme möglich, wir sind ein tierloser Nichtraucherhaushalt.
Preise nicht verhandelbar!",5
11998578,"2 Moderne Bürostühle","Verkaufe 2 Bürostühle wegen umzug
25.-CHF pro stk.",25
11998577,"snowboard burton 155 cm","vendo snowboard 155 cm Custom
ancora in buone condizioni,con attacchi.",185
11998576,"LISTA Bürotisch","1 BÜROTISCH 
Marke: LISTA
1 Haupttisch / Breite 160cm
2 Zusatztisch / Breite 80cm
Masse: 
Höhe 72cm verstellbar
Tiefe 80cm
Material: Holzwerkstoff
Farbe aussen: Buche (Siehe Bilder) 
Zustand: Gebraucht 
Neupreis: CHF 1500.--

Verpackung und Teile können 
Gebrauchspuren aufweisen
OE-Verpackung nicht vorhanden.
Für Produktionsfehler des Herstellers, 
übernehmen ich keine Haftung!

Ohne Garantie und jegliche 
Nachwährschaft. Keine Haftung für 
Druck- und Schreibfehler. 
Alle Angaben ohne Gewähr.

Firmenzeichen, Firmennamen, 
Markennamen, Logos u. Warenzeichen 
sind Eigentum der jeweiligen Hersteller/ 
Markeninhaber und wird nur zur
Produktebeschreibung verwendet.",480
11998575,"Ex Post wägeli ","Sehr stabil L-110cm B-65cm",50
11998574,"Whirlpool Prêt-à-Porter","Whirlpool Prêt-à-Porter ( prezzo a nuovo 399 euro) sistema stirante che combina il vapore secco all'esclusivo sacco impermeabile. Consente di rimuovere pieghe ed odori da camicie, giacche, pantaloni e gonne. Richiudibile in se stesso. Completo di libretto di istruzioni, vendo per mancato utilizzo",100
11998573,"Abspergitter","Div. Gitter für Treppenschutz oder Türrahmen usw.",15
11998572,"3D Druker günstig abzugeben","machen sie mir bitte ein angebot!
wegen nicht gebrauch ab zu geben
bei fragen bitte melden 079 103 99 29",0
11998570,"Prima classe: portafoglio, portacarte, portachiavi","vendo insieme o separatamente ( prezzo da concordare) portafoglio, portacarte e portachiavi di Prima Classe",100
11998569,"E-Scooter","Elektro Trottinet ist ein cooler, Scooter Zusammenlegbar innerhalb von wenigen Sekunden ist er der ideale City Flitzer bequem mitnehmbar in Zug und öffentlichem Verkehr.
Preis verhandelbar 
Ereichbar ab 18.00 uhr

Technische Daten:
Maximale Geschwindigkeit bis zu 18 km/h (je nach Gewicht des Fahrers)
Maximale Reichweite bis zu 5-10 Kilometer
Bremse: Vornebremse
Batterie 24V/9Ah
Ladezeit 6-8 Stunden
Beladung: 70 Kg
Gewicht 18kg
Zusammenklappbar in wenigen Sekunden
Abmessungen: 102 x 55 x 110 
Keine Strassenzulassung",150
11998568,"Cintura per la gravidanza","cintura di sicurezza per la gravidanza",30
11998567,"200 Stück CD Hüllen aus Polypropylen","CDs platzsparend archivieren. Innen mit Sicherheitsvlies, schützt die Disk vor Staub, Partikeln und Kratzern.  Vorne ist eine transparente Kunststofftasche, in die ein Standard Booklet eingeschoben werden kann und hinten kann alternativ ebenfalls noch ein Standardbooklet eingeschoben werden. Handlich und sehr platzsparend.",20
11998566,"Dampfsterilisator von AVENT","voll funktionstüchtiger gebrauchter AVENT Dampfsterilisator zu verkaufen",35
11998565,"Teppich ","Teppich zu verkaufen...",40
11998564,"Gil Hibben Messer","gil hibben sammlermesser. gesamtlänge 30cm. aus rostfreiem stahl geschmiedet. im sattelleder etui. bei intresse bitte sms oder e-mail schreiben",200
11998563,"Dyson DC 52 Staubsauger","Verkaufen gebrauchten Dyson DC 52 Staubsauger in gutem Zustand. Ca. 2 Jahre alt. Preis ist verhandelbar.",50
11998562,"Giacca Harley","Vendo giacca Harley unisex taglia M ( 4 stagioni) originale. usata solo 4 volte . come nuova!!  prezzo nuova: Fr 1'200.-",600
11998561,"Zippo Gothic Dragon Limited","Sammler-Stück in Acryl-Box / Nie benutzt / Nr. 1441 von 2500

Fragen zum Produkt werden sehr gerne per E-MAIL beantwortet",300
11998560,"Fusssack Maxi-Cosi","neuwertiger, leichter Fleece-Fusssack für Maxi-Cosi",20
11998559,"RITIRO AUTO & SUV","CERCO AUTO DA ACQUISTARE
VEICOLI IN ORDINE OPPURE DANNEGGIATE,VETTURE CON TANTI CHILOMETRI O GUASTI.
PAGAMENTO IMMEDIATO",NA
11998558,"Snowboard","Verkaufe ein Snow Board K2 Zeppelin. 158 cm lang, Kanten etwas rostig.",30
11998557,"3.5 Zimmer Wohnung","Super schöne Wohnung nähe  Frenkendorf Bahnhof.  2 min Bahnhof 5 min Coop Migros Denner Post Kindergarten. Wohnung ist sehr gross ca 87 m2 mit 2  grossen Balkon Abstellplatz 50  Fr und Tiefgarage mit Waschanlage( kann man selber  Waschen) 110 Fr .  Freundlichen nachbarschaftt, Küche mit Geschirrspüler, Wc mit Dusche und ein Badewahne . Keller Veloraum. Ich wahr seher  zu frieden mit dieser Wohnung, grund das ich eine andere Wohnung suchen muss ist dass wir zu 4 sind ich meine Frau und 2 Kinder, sonst wehre ich gerne da.Ich suche ein  Nachmieter ab 16 November. Für eine Besichtigung können sie mich anrufen.",1630
11998556,"JUICY COUTURE NEU DESIGNER WINTER JACKET GR.5","JUICY COUTURE NEU SÜSES ORIGINAL WINTER JACKET.
MIT ETIKETTEN
GR. 5 JAHREN
PORTO FR.7
PREIS IST FIX",69
11998555,"Lederstiefel schwarz","Stiefel schwarz. 
Grösse 37
Absatzhöhe ca 10cm
Schafthöhe 30cm
Versand nur gegen Vorkasse und Porto 7.-",29
11998554,"Kinder Fahrrad","Verkaufe ein Kinderfahrrad neuwertig 
in sehr gutem Zustand",50
11998553,"Pumps 38 gr. Neu echt leder","Marken Pumps gr. 38. sind echten Leder nie getragen worden sehr elegant und schönes modell für spezielle Anlässe. die Pumps gehen auch als Gr. 39 weil eher gross geschnitten.",40
11998552,"Odenwälder Fussack, Handschuhe und Lammfell","Odenwälder Fussack schwarz, 
Lammfell kompatibel für jeden Kinderwagen (nicht auf dem Bild)
Odenwälder Muffolo Handschuhe zum befestigen am Kinderwagen. 
Wurde alles nur für ein Kind benutzt",85
11998551,"Sitzbank/Schuhbank dunkelbraun","Sehr schöne Sitzbank, Schuhbank, Badezimmerbank etc.  

Breite: 79 cm
Tiefe: 37 cm
Höhe: 50 cm
Max Belastung: 100 kg
Produktbeschreibung

massive Pappel, Beize, Klarer Polyurethan-/Acryllack",35
11998550,"Winter Skikombi 74/80","Winter Skikombi
grösse 74/80
sehr guter zustand
abnehmbare kapuze",12
11998549,"Fässer","Fässer gebraucht 
Gratis",0
11998548,"Antik Kommode","Sehr schöner Antik Kommode mit 7 Schubladen",180
11998547,"Armband mit Hanfblatt","Biete neues Armband mit Hanfblatt",5
11998546,"Kinderbuch: Maries Geheimnis","Spannendes Kinderbuch
Autor: Torill Eide

Weitere Kinder-/Jugendbücher erhältlich.",4
11998545,"Glasesstisch Schwarz","Schwarzer Glastisch
Ist wie neu.",60
11998544,"Booster Autositz","Bis Körpergrösse 1.50m sind Kindersitze gesetzlich vorgeschrieben. Wenn die Kinder aber schon ziemlich gross sind, reicht ein solcher Booster-Sitz völlig aus. Stoffüberzug kann weggenommen und gewaschen werden.
Geeignet für 15-36kg.",8
11998543,"Schiebetürenschrank","Hallo

alter Kleiderschrank mit Schiebetüren. Äusserlich noch guter Zustand, im Innenleben schon gebraucht und etwas falsch zusammen gebaut.
Masse: H/B/T: 2.13 / 2.02 / 0.65

Nur an Selbstabholer.

Gruss
Matthias",50
11998542,"Barstuhl","Verkaufe Barstuhl",15
11998541,"Tandem Gleitschirm","GIN Becool 42, wenig Flüge (ca. 200), guter Zustand, Preis auf absprache.",700
11998540,"Tenda scorrevole in alluminio 200 x 300 cm beige","Nuova imballata
attesa per consegna da 3-5 giorni
richiesta acconto 50%.

consegna domicilio fr.20.-
ritirato a rivera fr.0.-

Facile da usare.
cavo retrattile automatico.
Allungabile fino a 300 cm.
Protegge contro l'esposizione involontaria, basso sole e vento.
Tenda alloggiamento in alluminio rivestito fornisce una protezione contro la polvere e lo sporco.
tessuto in poliestere (240 g / mq), con rivestimento idrorepellente tenda.
Facilità di installazione.
Tutto il materiale di installazione è incluso.
 

specifiche tecniche:

Totale attraversato Dimensioni (larghezza x altezza): fino a 300 cm x 200 cm
Dimensioni alloggiamento (LxWxH): 11 x 10 x 200 cm
Piastra Dimensioni Messaggio di base (L x P): 10 x 9 cm
Diametro palo: Ø 60 millimetri
Peso: 9 kg
Materiale: tessile materia prima composizione tenda 100% poliestere (240 g / m²), 
rivestimento in PU, tendalino alloggio e supporto messaggi di verniciatura a polvere di alluminio, elementi plastici

La fornitura comprende:

tenda 1 lato
1 istruzioni di montaggio illustrate
Completare il montaggio con viti, tasselli e clip di fissaggio",140
11998539,"Cerco trasponder per auto rc","cerco trasponder",NA
11998538,"suzuki alto","Vendesi suzuki alto in buone condizioni sistituito freni e cinghia distribuzione collaudo alla consegna.",3500
11998537,"Damenschuhe","5 Paar Schuhe zu verkaufen
Teilweise wurden die Schuhe einmal oder gar nie gebraucht.
Schuhe kann man auch einzeln kaufen 5.-/Paar.
Sie müssen abgeholt werden.",20
11998536,"Cassettiera lista su rotelle","Cassettiera Lista in perfette condizioni. Prezzo 100.-",NA
11998535,"Rollkragen Shirt weiss Gr. 98","Rollkragen Shirt in weiss von zara Gr. 98

- sehr gepflegt, selten getragen
- wurde nur von einem Kind getragen

Versand gegen Portokostenübernahme möglich, wir sind ein tierloser Nichtraucherhaushalt.
Preise nicht verhandelbar!",4
11998534,"Louis vuitton Keepall 55","louis vuitton keepall 55 
original 
possibilité d'authentifier au magasin",950
11998533,"Zapfwellenpumpe Feuerwehr","Aus Feuerwehr bestand.

Kann besichtigt werden.",800
11998532,"Sofa mit Sessel und Hocker","2er Kunstledersofa mit passendem Sessel und Hocker. Gut erhalten und tolles Design. Ist nicht schwer, da es Lunstleder ist.
Sofa: 172 cm breit / 70cm hoch / 80cm breit
Sessel: 73cm hoch / 83cm breit
Hocker: 45cm x 45cm
Ist in Baden abzuholen bis am 24. September, damach in 5312 Döttingen, da ich umziehe.",100
11998531,"Jura Bügelbrett mit Funktionen..","Jura Bügelbrett mit Funktionen zu verkaufen....",40
11998530,"Sony Playstation 4 mit 3 Spielen","Gebraucht aber wie Neu, funktioniert einwandfrei. 
Möchte mein PS4 verkaufen, weil ich mehr mit mein Xbox spiele. 

Zubehör:
1* PS4 (500 GB)
1* Controller
1* Ladekabel
1* HDMI Kabel
1* Netzkabel
1* Headset 
(Original Quittung, Garantie noch bis: 25.06.2017)

+3 Spiele:
Driveclub (Originalverpackt)
Little Big Planet (Originalverpackt)
The Last Of Us Remastered

PREIS VERHANDELBAR!!!",250
11998529,"Picard Umhängetascje t98","Imitationsleder in braun-beige. Diese Tasche habe ich nur 1x ausgeführt, wobei sie mir persönlich zu klein ist. Deshalb im Verkauf. Neuwertig, ohne irgendwelche Defekte.
Masse: 21cm Breite, 4cm tief, 74cm hoch mit Umhängegürtel-Höhe, 15 ohne

- Artikel habe ich bestimmt noch, sonst wäre Inserat nicht da.
- Preisvorschläge immer gerne, wenn Sie auch realistisch bleiben
- Abholen immer möglich (Muttenz). 
- Versand +7 CHF muss dazugerechnet werden.",59
11998528,"Winter-Jacke, hellgrün, Gr. 110","Skijacke mit Schneefang (noch zum austragen)",0
11998527,"bettsofa mit Bettkasten Neu Preis war 469.00 das Sofa ist ne","B 144 L 2.00",140
11998526,"Lego Ritter Figuren Sammlung","Ich verkaufen hier Lego Ritter Figuren. 1 Stück für 2 Fr ( der Preis ist verhandelbar )   Alle Figuren haben einen Kopf mit Gesicht, einen Körper mit zwei gleichfarbigen Armen und Händen und Füßen. Der Zustand der Figuren ist gebraucht. Nichts ist abgebrochen oder bemalt. ei manchen Figuren können leichte Farbunterschiede bzw. leichte Verfärbungen, Kratzer vorkommen",2
11998524,"Kommode mit 3 Schubladen","Ich verkaufe wegen Wohnungswechsel diese Kommode mit drei automatisch bremsenden Schubladen für einen leisen Schliessvorgang.

Der Artikel ist noch wie neu und kann montiert in Zollikofen abgeholt werden.

Masse in cm (LxBxH):
90 x 50 x 80",50
11998523,"Monster high schule","Gut erhaltene Monster High Schule.
Alles in sehr gutem Zustand. Erst 10 Monate alt.",150
11998522,"Babywippe","Vielfach verstellbare Wippe/Liege für Ihr Baby",15
11998521,"TV Unterschrank/ Lowboard","Ich verkaufe einen Lowboard in weiss Hochglanz. Er besteht aus 2 Schubläden und 2 Glastüren mit jeweils einem Glastabelar.
Masse 170X48X50 (LxHxB).",100
11998520,"Kinder Fahrrad","ich verkaufe ein Kinderfahrrad
sehr guter zustand, wenig gebraucht.",80
11998519,"PS 3, controller, telecamera, telecomando e 6 giochi","come da titolo vendo PS 3 e accesdori e 6 giochi",150
11998518,"Wieso Weshalb Warum Junior - WENN ES DUNKEL WIRD - wie neu","Wann ist Nacht? Warum muss ich schlafen? Mit stimmungsvollen Illustrationen und Texten stellt dieses Buch eine einfühlsame Reise durch die Nacht und einen behutsamen Begleiter auf dem Weg ins Bett dar.

Selbst nach einem langen Tag geht kaum ein Kind abends gern ins Bett. Weshalb muss ich überhaupt schlafen? Warum träume ich? Und wer ist nachts noch wach? Ein stimmungsvoller Begleiter auf dem Weg ins Bett.

Das Buch ist in einem sehr guten Zustand.

Abholung oder auch gerne Versand bei Übernahme der Portokosten.

Wir sind ein tierfreier Nichtraucherhaushalt.

Hier handelt es sich um einen Privatverkauf, daher keine Garantie und keine Rücknahme.",7
11998517,"Machine à café Amici X7.1, très bon état, rouge","Cette belle machine à café vous permet de confectionner chez vous un espresso parfait, comme s'il avait été préparé par un barista professionnel. Il suffit de placer la capsule dans le logement prévu à cet effet et de démarrer le processus d'infusion par simple pression sur un bouton. Lors de la mise au point de l'appareil, la confection d'un espresso a fait l'objet d'une étude approfondie dans les moindres détails.

Le résultat de ces études a pris la forme d'une machine qui vous offre le plaisir de déguster chez vous un café absolument parfait.",130
11998516,"Puzzle 500 Eduka","wie neu",10
11998515,"1 Flasche camping gaz mit Regler","Flasche camping gaz mit Regler.

 ca. halb gefüllt.",40
11998514,"Grosse Rattantruhe, Korbtruhe","Wir verkaufen eine sehr grosse Rattankiste, Weidekorb oder Rattankorb. Er ist komplett aus Holz und hat einen Deckel. Die Abmessungen sind: Ca. 130cm lang, 65cm hoch (mit geschlossenem Deckel) und 70cm tief. An beiden Seiten hat er Haltegriffe.

Ideal um Bettdecken, Sitzkissen oder Spielsachen zu lagern. Auch toll als Dekoration in einem Ladengeschäft.

Nur Abholung in Hochdorf!",80
11998513,"GBA Pokemon Dark Cry ","Pokemon Dark Cry zu verkaufen für Nintendo Game Boy Advance
 
 
 
Noch weitere Spiele zu verkaufen: Nintendo - Nes - Super Nintendo - Nintendo 64 - Gamecube - Wii - Wii U - Game Boy Color & Advance - Nintendo DS - Nintendo 3DS",7
11998512,"JUICY COUTURE NEU DESIGNER WINTER JACKET GR.3","JUICY COUTURE NEU UND ORIGINAL SÜSSES WINTER JACKET.
MIT ETIKETTEN.
GR.3 JAHREN
PORTO FR.7
PREIS IST FIX",69
11998511,"Gil Hibben Messer","odyssey edition 1998. jahresmesser von gil hibben. gesamtlänge 38cm. aus rostfreiem stahl geschmiedet. im sattelleder etui. bei intresse bitte sms oder e-mail schreiben",200
11998510,"Biografia di Ueli Steck","Biografia in tedesco di Ueli Steck alpinista di velocità che detiene il record di velocità su Eiger, Cervino e Grand Jorass.
Eventuali spese di Spedizione",10
11998509,"Regenhose pink Gr. 98","Regenhose in pink Gr. 98, von Max & Nele, eher klein geschnitten, kann auf der Seite enger gemacht werden und unten hats einen Steg für die Gummistiefel. 

- sehr gepflegt, wurde nicht lange getragen
- wurde nur von einem Kind getragen

Versand gegen Portokostenübernahme möglich, wir sind ein tierloser Nichtraucherhaushalt.
Preise nicht verhandelbar!",6
11998508,"Passeggino Ferrari","Passeggino Ferrari, compreso di sacco per il freddo e di porte-enfant.
Tutto in ottimo stato.",300
11998507,"Putzhilfe gesucht","Guten Tag
Wir suchen für unser Haus eine Putzhilfe welche einmal in der Woche unser Haus reinigt (Staubsaugen, Abstauben, Reinigung der Bäder, Küche etc). Zeitaufwand ca. 4h. 
Wir haben ein kleines Kind und einen kleinen Hund. 
Wir freuen uns über Eure Nachrichten.",NA
11998506,"Lego Ritter Figuren Sammlung","Ich verkaufen hier Lego Ritter Figuren. 1 Stück für 2 Fr ( der Preis ist verhandelbar )   Alle Figuren haben einen Kopf mit Gesicht, einen Körper mit zwei gleichfarbigen Armen und Händen und Füßen. Der Zustand der Figuren ist gebraucht. Nichts ist abgebrochen oder bemalt. ei manchen Figuren können leichte Farbunterschiede bzw. leichte Verfärbungen, Kratzer vorkommen",2
11998505,"Blech Zuber Eimer mit Henkel","Blech Zuber Eimer mit Henkel
ohne Lavendel und Erde.  Gebrauchter Zustand, siehe Fotos Masse: 27/37/26 cm",18
11998504,"WMF Stabmixer","kaum gebraucht, Stabmixer mit Mixglas und separatem Zwiebelhäcksler",40
11998503,"Regal Ikea Expedit (heute Kallax)","Kleines Expedit 4x4 Fächer
Höhe x Breite x Tiefe: 148.5 x 148.5 x 39.5 cm
Gebrauchsspuren vorhanden, Möbel ist aber noch komplett mit allen Schrauben und voll funktionstüchtig",45
11998502,"Homcom Reckstange Deckenmontage 6 Griffe","Beschreibung:

geeignet für den Einsatz zu Hause
Deckenmontage
stabile Stahlrohr-Konstruktion mit 6 rutschfesten Griffen
drei Griffgruppen für das Training von verschiedenen Muskelgruppen
Griffe mit weichen Gummi, um Ihre Hände zu schützen
Incl. Schwerlastdübel für die Montage

Technische Daten:

 

Material: Stahl pulverbeschichtet 
Durchmesser Stahlrohr: 25mm 
Abmessungen: 106 x 28 x 49 cm (LxBxH) 
Abstand zur Decke: 49 cm 
Max. Belastbarkeit: 150KG 
Nettogewicht: ca. 7 kg 
Farbe: schwarz

 

 

Lieferumfang:

 

1 x Klimmzugstange 
Inkl. Befestigungsmaterial (Schwerlastdübel) 

 1 x Aufbauanleitung

Neuware!!!      

Gefällt Ihnen dieser Artikel?

Lieferzeit ca. 3-9 Werktage

Versandkosten nur CHF 9.95

24 Monate Garantie

Zahlung per Bankzahlung, Posteinzahlung, Paypal oder auch in bar bei Abholung.

Dieses und viele weitere Angebote inkl. vollständige Produktbeschreibungen und Preise erhalten Sie in unserem Shop: gut-kaufen",99
11998501,"Dilatatori tunnel spirali","tutti 8mm tranne le spirali sul lato 6mm e la piu fine 1.5mm
3fr l'uno",3
11998500,"Bett 140-200 komplett","Sehr gute Zustand
Hohe Qualität von Micasa
Komplett zu verkaufen
Bett Lattenrost Matratze alles 150.-",150
11998499,"Panasonic sound system","panasonic anlage, für weitere angaben einfach schreiben",100
11998498,"Adidas Trainingsanzug, Grösse 110","Verkaufe neuwertigen Adidas Trainingsanzug in der Grösse 110.

Bei Versand + CHF 7.-",25
11998497,"Neuwertige MICHAEL KORS Clutch","Elegante Leder Clutch von Michael Kors, in einem wunderschönen Cognac-Braun.

Wurde nur selten  getragen.",80
11998496,"X BOX 360 mit 2 Spielkonsole","ich biete gut erhaltene x box 360 in grau, mit diversen games und 2 spielkonsolen. 
verkaufe weil wir keine zeit mehr dafür haben und es nur da steht. kein rückgaberecht da privatverkauf.
habe noch mehr angebote schaut euch es an. 
bitte nur sms oder e mail.",110
11998495,"Brooklyn Tasche Nintendo Dsi XL","Neuwertig / 1-2 gebraucht / mit Zubehörfächer / aus Hartplastik / Dsi Original-Produkt",35
11998494,"Kinderkrimi: Die geheimnisvolle Limousine","Spannendes Abenteuer zum Lesen. 
Autor: Elisabeth Mollema
Verlag: arsEdition

Weitere Kinderbücher erhältlich.",5
11998493,"3,5-zimmer Wohnung in Zürich-Altstetten ","Hallo,

es wird eine 3,5 Zimmer Wohnung zum 01. Oktober vermietet,

Die Warmmiete beträgt 1510 CHF. Die Wohnung ist etwa 70 m² gross.

Die Wohnung ist nur 300 Metern vom Bahnhof Zürich-Altstetten entfernt. Alle Läden, Kindergarten, Schule sind in der Nähe vorhanden.

Einige Möbelteile wie Ledergarnitur und Schlafzimmer müssen für die Hälfte des Preises übernommen werden (insgesamt 2000 CHF, 3 Jahre alt).

Die Garage kann auf Wunsch dazu gemietet werden.",1510
11998492,"Lautsprecher Set Gladen ZERO PRO 165.2 DUAL 2-Wege 16.5cm te","Neues und Ungeöffnetes Gladen ZERO PRO 165.2 DUAL 2-Wege 16.5cm teilaktiv Komponentensystem
Die Liebe zum Detail, zur Perfektion und zur Musik veranlassten Henning Gladen bereits in den 90er Jahren, Lautsprechersysteme und Frequenzweichen zu entwickeln. 1997 wurde so die Marke GLADEN ins Leben gerufen. Heute bringt der Ingenieur für Luft- und Raumfahrttechnik bei den GLADEN-Entwicklungen Technologien zum Einsatz, die auch in der Luftfahrt oder im Automobilbau verwendet werden, wie beispielsweise FEM-Berechnungen. Doch auch bei vielen technischen Details geht GLADEN AUDIO mit seinen Produkten ausgefallene und neue Wege - mit einem Ziel: dem perfekten Klangerlebnis!

Für GLADEN Lautsprecher kommen nur äußerst hochwertige Komponenten zum Einsatz, deren Verarbeitung sich an höchsten Ansprüchen orientiert. Hierzu gehören Faser- oder Compound-Membrane, Nomex-Zentrierspinnen, Aluminium-Druckgusskörbe und Gewebehochtonkalotten. Die Litzen werden aufgewogen, und es kommen nur hoch- temperaturbeständige Klebstoffe zum Einsatz.

- High-End System
- Sand-Coated Papiermembran
- Aluminium Gusskorb
- Hochtöner mit Koppelvolumen
- Nomex Zentrierspinne
- 38 mm Schwingspule
- Made in Germany

Technische Daten:

- 2-Wege System
- 2x 450/300 Watt
- 25 mm Hochtöner
- 165 mm Dust-Cap DOPPEL-Mittelbass
- 2 Ohm Impedanz
- Weiche mit 504 Einstellmöglichkeiten",700
11998491,"Soutien au patron d'une PME (évtl. en vue dune succession)","Diplômé du Centre de management de la Haute École Spécialisée Bernoise cherche à rejoindre une PME dans la région du Léman ou de l'Arc Jurassien. Fonction désirée: soutenir le patron dans la gestion quotidienne de l'entreprise, éventuellement en vue dune succession.",NA
11998490,"Taft Styling Haarschaum NEU","Habe diese Produkte mal als Vorrat gekauft. Aufgrund einer Erkrankung fielen mir die Haare aus. Wieder nachgewachsen hat sich das Haar völlig verändert. Nun passen die alten Stylingprodukte nicht mehr. Daher zu verkaufen.",10
11998489,"Holztisch ausziehbar","Gebrauchter Tisch aus Holz, Masse:
(lxbxh) 119x78x74.5cm, ausgezogen: 179x78x74.5cm.
Das Tisch hat gebrauchsspuren, ist aber sehr stabil.
Muss abgeholt werden.",20
11998488,"Herren Magnet Armband","Biete neues Magnet Herren Armband",19
11998487,"Stroboskop","Stroboskop funktioniert einwandfrei",10
11998486,"PSP Games (7 Stk.)","7 PSP Games

plus Versand",10
11998485,"Spielzeug","Diverses Spielzeug, Plüschtiere, Kinderbücher usw. für Kinder im Alter von  
1 bis  4- jährig. In gutem Zustand. Preis n. Absprache, wäre schön wenn jemand noch Freude daran hat.",20
11998484,"Tenda scorrevole in alluminio 180 x 300 cm nero","Nuova imballata
attesa per consegna da 3-5 giorni
richiesta acconto 50%.

consegna domicilio fr.20.-
ritirato a rivera fr.0.-

Facile da usare.
cavo retrattile automatico.
Allungabile fino a 300 cm.
Protegge contro l'esposizione involontaria, basso sole e vento.
Tenda alloggiamento in alluminio rivestito fornisce una protezione contro la polvere e lo sporco.
tessuto in poliestere (240 g / mq), con rivestimento idrorepellente tenda.
Facilità di installazione.
Tutto il materiale di installazione è incluso.
 

specifiche tecniche:

Totale attraversato Dimensioni (larghezza x altezza): fino a 300 cm x 180 centimetri
Dimensioni alloggiamento (LxWxH): 11 x 10 x 180 cm
Piastra Dimensioni Messaggio di base (L x P): 10 x 9 cm
Diametro palo: Ø 60 millimetri
Peso: 8 kg
Materiale: tessile materia prima composizione tenda 100% poliestere (240 g / m²), 
rivestimento in PU, tendalino alloggio e supporto messaggi di verniciatura a polvere di alluminio, elementi plastici

La fornitura comprende:

tenda 1 lato
1 istruzioni di montaggio illustrate
Completare il montaggio con viti, tasselli e clip di fissaggio",130
11998483,"Umzugskisten","31 OBI Umzugskisten ""Spedition""
Sehr robustes doppelwelliges Material
Extra: Integriertes Verstärkungsband zur Handgriffverstärkung
Volumen: ca. 77 Liter

Kisten sind einmal gebraucht, nicht beschriftet und unbeschädigt.",80
11998482,"Hy Skate Junior (Inline Skates) Gr. 33-36","- gut erhaltene Inline Skates für Kinder; 
  - einfach verstellbar von Gr. 33-36;  
- mit ungebrauchtem Ersatz Gummibremskeil zum Auswechseln;  
- gebraucht, in gutem Zustand, leider zu klein jetzt;  
- bei Interesse auch mit Schutz-Set (für Handgelenk, Ellgoben, Knie)",8
11998481,"AUFI A5 Kühlergrill","Zu verkaufen ist ein Audi A5 Kühlergrill in gutem Zustand. 

Audi Baujahr ca 2009 bis 2013",90
11998480,"Diverse Häuser für Eisenbahn Spur 0","Dieverse Häuser für Eisenbahn Spur0
Alles von Hand gebaut.
Einige sind Nachbauten wie sie einmal aus gesehen haben.",250
11998479,"GIACCA IMBOTTITA PER BAMBINA","Giacca invernale grigia, interno rosa, taglia 122, ottimo stato",25
11998478,"Waschbecken und Spiegelschrank","grau, weiss, Breite ca. 60 cm, mit integrierter Beleuchtung und Schubladen unter dem Lavabo",40
11998477,"Pumps Zara original 39 gr. Leder","zu verkaufen pumps von Zara sind 1mal getragen worden. echtem Leder und gr. 39. sehr speziellen modell.",30
11998476,"chicco tischsitz","neuwertiger tischsitz mit 360 grad drehung.",50
11998474,"Marsupio Bondolino","marsupio ergonomico",50
11998473,"1 Vitrine, 1 Salontisch, 1 Kleine Schrank nur für 1000.-","Aus Nussbaum.
ungebraucht.
nur für 1000.-",1000
